job_link,job_title,job_company,job_location,job_contract,job_level,job_salary,job_salary_mean,job_tags,job_perks_and_benefits
https://aijobs.net/job/1307721-stagiaire-ingenieure-rd-hf-simulation-numerique-criteres-mise-a-la-terre-haute-tension-malt/,Stagiaire Ingénieur(e) R&D (H/F) Simulation numérique & critères mise à la terre haute tension (MALT),GE Vernova,"Villeurbanne, France",Full Time;Internship,Entry-level / Junior,,,Python;R;R&D,
https://aijobs.net/job/1307599-responsable-developpement-ia-generative-junior/,Responsable développement IA Générative junior,Everience Benelux,"Courbevoie, IDF, France",Full Time,Entry-level / Junior,EUR 27K - 63K * ,45,APIs;Azure;LangChain;LLMs;OpenAI;Python;RAG,
https://aijobs.net/job/1307534-data-engineer/,Data Engineer,Sorare,Paris,Full Time,,EUR 69K - 129K * ,99,Agile;Airflow;AWS;BigQuery;Business Intelligence;Data pipelines;Data quality;dbt;Engineering;GCP;Julia;Kafka;Looker;Pipelines;PostgreSQL;Python;Redshift;Ruby;Security;Snowflake;Unstructured data,Fitness / gym;Flex vacation;Gear;Health care;Insurance;Lunch / meals;Wellness
https://aijobs.net/job/1307455-it-business-data-scientist-business-assurance/,IT Business Data Scientist – Business Assurance,SGS,"Arcueil, IDF, France",Full Time,Mid-level / Intermediate,EUR 72K - 135K * ,103.5,Data management;Data Mining;Machine Learning;Power BI;Statistics;Testing,Career development;Flex hours;Health care
https://aijobs.net/job/1307362-ai-product-owner/,AI Product Owner,Diabolocom,Paris,Full Time,Mid-level / Intermediate,EUR 61K - 113K * ,87,Agile;APIs;Data analysis;Engineering;Machine Learning;Testing,Career development;Flex hours;Team events
https://aijobs.net/job/1307244-senior-ai-engineer-orchestration-agentic-systems/,Senior AI Engineer – Orchestration & Agentic Systems,H Company,Paris,Full Time,Senior-level / Expert,EUR 101K - 188K * ,144.5,APIs;Architecture;Engineering;LLMs;Prompt engineering;Python;RAG;TypeScript;UX,Career development;Competitive pay;Equity / stock options;Startup environment
https://aijobs.net/job/1306943-assistant-data-analyst-rempl-noam-alternance/,Assistant Data Analyst (Rempl Noam) - ALTERNANCE,Maisons du Monde,"MDM / PARIS 55 AMSTERDAM, France",Full Time;Internship,Entry-level / Junior,,,BigQuery;Excel;GCP;Google Cloud;Python;QlikView,Salary bonus
https://aijobs.net/job/1306937-data-analyst-intern/,Data Analyst Intern,Match Group,"Paris, France",Internship,Entry-level / Junior,,,Agile;Data analysis;Data quality;Data visualization;Engineering;Excel;HDFS;KPIs;Microservices;PostgreSQL;QuickSight;Redshift;SQL;Testing,Career development;Conferences;Flex hours;Lunch / meals;Team events
https://aijobs.net/job/1306662-data-scientist/,Data Scientist,Mediagenix,Paris,Full Time,Mid-level / Intermediate,EUR 72K - 135K * ,103.5,AWS;Big Data;CI/CD;Databricks;Data pipelines;Data quality;Data visualization;Deep Learning;DevOps;Docker;EC2;ECS;Elasticsearch;KPIs;Lambda;Machine Learning;MongoDB;NLP;Pipelines;Plotly;Power BI;Probability theory;Python;PyTorch;RDBMS;SageMaker;Scikit-learn;Snowflake;Spark;SQL;Statistics;Tableau;TensorFlow;Terraform;Testing,Career development;Flex hours;Flex vacation;Gear;Team events;Transparency;Yoga
https://aijobs.net/job/1306519-data-scientist-confirme-hf/,Data scientist confirmé - H/F,Scalian,"Neuilly-sur-Seine, IDF, France",Full Time,Senior-level / Expert,EUR 87K - 162K * ,124.5,Agile;Architecture;Confluence;DevOps;Git;Jira;Kanban;Python;Scrum;SharePoint;SQL;Tableau,
https://aijobs.net/job/1306464-data-scientist-nlp-ia-generative-hf/,Data Scientist NLP / IA Générative H/F,Septeo,"Courbevoie, IDF, France",Full Time,Entry-level / Junior,EUR 58K - 108K * ,83,Agile;APIs;Architecture;BERT;Chatbots;Docker;Engineering;FastAPI;LLaMA;LLMs;MLFlow;MLOps;NLP;NLTK;OpenAI;Pipelines;Prompt engineering;Python;PyTorch;spaCy;Transformers,Career development
https://aijobs.net/job/1306389-consultant-dataops-fh/,Consultant DataOps F/H,Business & Decision,"Toulouse, Occitanie, France",Full Time,Senior-level / Expert,EUR 68K - 127K * ,97.5,Ansible;Architecture;Azure;Big Data;BigQuery;Databricks;DataOps;Dataproc;DevOps;Docker;Engineering;GCP;Git;Google Cloud;Java;Pipelines;Python;Qlik;Salesforce;Talend;Terraform,
https://aijobs.net/job/1306343-data-engineer-banque-hf/,Data Engineer Banque (H/F),Inetum,"Saint-Ouen-sur-Seine, IDF, France",Full Time,Entry-level / Junior,EUR 55K - 103K * ,79,Agile;CI/CD;Consulting;Finance;Git;Pipelines;Python;Salesforce;Scala;Spark,
https://aijobs.net/job/1305894-apprentice-automation-machine-learning-and-gen-ai-python/,"APPRENTICE - Automation, Machine Learning and Gen-AI (Python)",Amadeus,"Sophia Antipolis, France",Full Time,Entry-level / Junior,EUR 27K - 63K * ,45,APIs;Computer Science;Generative AI;Git;Machine Learning;NLP;Python,Career development;Competitive pay;Equity / stock options;Flex hours;Salary bonus;Team events
https://aijobs.net/job/1305805-alternant-business-data-analyst-hf/,ALTERNANT - Business Data Analyst (H/F),Carglass,"FR - COURBEVOIE, France",Full Time,Entry-level / Junior,EUR 42K - 78K * ,60,Big Data;Excel;Python;Qlik;SQL,
https://aijobs.net/job/1305636-analyste-quantitatif-methodologie-bale-ii-modelisation-hf/,Analyste quantitatif Méthodologie Bâle II – Modélisation H/F,Crédit Agricole CIB,"Europe, France, Ile-de-France, 92 - Hauts-De-Seine",Full Time,Mid-level / Intermediate,EUR 52K - 98K * ,75,Finance;Python;R,
https://aijobs.net/job/1305607-data-analyst-experimentee-industries-services-aix-en-provence/,Data Analyst Expérimenté(e) - Industries & Services - Aix en Provence,Sopra Steria,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",Full Time,Entry-level / Junior,EUR 42K - 78K * ,60,AWS;DataOps;Java;Kafka;Python;Scala;SQL,
https://aijobs.net/job/1305534-data-analyst-data-stewart-chef-de-projet-remuneration-sirh-hf/,Data Analyst / Data Stewart & Chef de Projet Rémunération SIRH H/F,Crédit Agricole CIB,"Europe, France, Ile-de-France, 92 - Hauts-De-Seine",Full Time,Entry-level / Junior,EUR 42K - 78K * ,60,Agile;Architecture;Excel;Finance;NoSQL;Oracle;Power BI;QlikView;SQL;Tableau,
https://aijobs.net/job/1305474-data-scientist-hf/,Data Scientist H/F,Crédit Agricole CIB,"Europe, France, Ile-de-France, 78 - Yvelines",Full Time,Entry-level / Junior,EUR 58K - 108K * ,83,Big Data;Blockchain;Business Intelligence;Finance;NLP;OCR;Power BI;Python;Robotics;RPA;SQL,
https://aijobs.net/job/1305301-stage-product-owner-hf/,[ STAGE ] - Product Owner - H/F,ADEO,"Ronchin, France",Full Time,Entry-level / Junior,EUR 54K - 100K * ,77,Agile;Architecture;GPT;LLMs;Machine Learning;RAG;Scrum,
https://aijobs.net/job/1305278-stagealternance-ingenieur-data-reporting-biogaz-hf/,Stage/Alternance - Ingénieur Data & Reporting Biogaz - H/F,CVE Group,"Marseille, France",Internship,Entry-level / Junior,,,Excel;Finance;KPIs;Power BI;Python;SQL,
https://aijobs.net/job/1305277-stage-assistant-portfolio-management-juillet-2025/,Stage - Assistant Portfolio Management - Juillet 2025,Sienna Investment Managers,"Paris, IDF, France",Full Time;Internship,Entry-level / Junior,,,Finance;Power BI;Python;SQL,
https://aijobs.net/job/1305001-data-engineer-modern-data-hf/,Data Engineer – Modern Data (H/F),ASI,"Lyon, Auvergne-Rhône-Alpes, France",Full Time,,EUR 69K - 129K * ,99,Agile;Ansible;Architecture;AWS;Azure;CI/CD;Databricks;DataOps;dbt;DevOps;Docker;GCP;Git;GitLab;Jenkins;Maven;Pipelines;Python;Snowflake;Spark;SQL;Terraform,
https://aijobs.net/job/1304934-senior-back-end-engineer-nodejs/,Senior Back-End Engineer (NodeJs),Blackfluo.ai,"Paris, France",Full Time,Senior-level / Expert,EUR 95K - 177K * ,136,API Development;APIs;Engineering;Kubernetes;Machine Learning;ML models;Node.js;PostgreSQL;RDBMS;TypeScript,
https://aijobs.net/job/1304762-machine-learning-image-engineer/,Machine Learning Image Engineer,Blackfluo.ai,"Paris, France",Full Time,Mid-level / Intermediate,EUR 79K - 148K * ,113.5,Computer Vision;Docker;Engineering;LLMs;Machine Learning;ML models;Pipelines;Python;PyTorch,
https://aijobs.net/job/1304550-alternance-ingenieure-ia-services-publics-nantes/,Alternance - Ingénieur/e IA - Services Publics - Nantes,Sopra Steria,"Nantes, Pays de la Loire, France",Full Time;Internship,Entry-level / Junior,,,LangChain;LLMs;Python;RAG;Streamlit,
https://aijobs.net/job/1301896-data-scientist-speech-to-text-hf/,Data Scientist Speech-to-Text H/F,Inetum,"Nantes, Pays de la Loire, France",Full Time,Entry-level / Junior,EUR 58K - 108K * ,83,Consulting;NLP;Pipelines;Salesforce,
